Year,Geography,data.Educational attainment level,Age group,Sex,Value
2016,Northwest Territories,data.Bachelor's level,"data.Total, 25 to 64 years",Female,19.0
2017,Northwest Territories,data.Bachelor's level,"data.Total, 25 to 64 years",Female,19.0
2018,Northwest Territories,data.Bachelor's level,"data.Total, 25 to 64 years",Female,18.0
2019,Northwest Territories,data.Bachelor's level,"data.Total, 25 to 64 years",Female,21.0
2020,Northwest Territories,data.Bachelor's level,"data.Total, 25 to 64 years",Female,20.0
2010,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,22.0
2011,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,20.0
2012,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,20.0
2013,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,18.0
2014,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,18.0
2015,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,17.0
2016,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,18.0
2017,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,20.0
2018,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,17.0
2019,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,21.0
2020,Northwest Territories,data.Bachelor's level,25 to 34 years,Both sexes,21.0
2010,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,20.0
2011,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,19.0
2012,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,18.0
2013,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,13.0
2014,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,17.0
2015,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,16.0
2016,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,13.0
2017,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,16.0
2018,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,15.0
2019,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,17.0
2020,Northwest Territories,data.Bachelor's level,25 to 34 years,Male,16.0
2010,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,23.0
2011,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,21.0
2012,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,21.0
2013,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,22.0
2014,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,19.0
2015,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,19.0
2016,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,22.0
2017,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,25.0
2018,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,19.0
2019,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,25.0
2020,Northwest Territories,data.Bachelor's level,25 to 34 years,Female,27.0
2010,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,25.0
2011,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,19.0
2012,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,22.0
2013,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,18.0
2014,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,20.0
2015,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,19.0
2016,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,17.0
2017,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,25.0
2018,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,20.0
2019,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,23.0
2020,Northwest Territories,data.Bachelor's level,30 to 34 years,Both sexes,24.0
2010,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,21.0
2011,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,15.0
2012,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,18.0
2013,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,14.0
2014,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,19.0
2015,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,18.0
2016,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,14.0
2017,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,21.0
2018,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,18.0
2019,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,18.0
2020,Northwest Territories,data.Bachelor's level,30 to 34 years,Male,15.0
2010,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,30.0
2011,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,23.0
2012,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,26.0
2013,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,20.0
2014,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,21.0
2015,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,20.0
2016,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,20.0
2017,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,29.0
2018,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,22.0
2019,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,27.0
2020,Northwest Territories,data.Bachelor's level,30 to 34 years,Female,33.0
2010,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,16.0
2011,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,16.0
2012,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,20.0
2013,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,17.0
2014,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,21.0
2015,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,19.0
2016,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,19.0
2017,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,20.0
2018,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,17.0
2019,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,20.0
2020,Northwest Territories,data.Bachelor's level,35 to 44 years,Both sexes,21.0
2010,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2011,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2012,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2013,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,13.0
2014,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2015,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,13.0
2016,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,14.0
2017,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2018,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,13.0
2019,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,16.0
2020,Northwest Territories,data.Bachelor's level,35 to 44 years,Male,19.0
2010,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,16.0
2011,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,16.0
2012,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,25.0
2013,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,22.0
2014,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,25.0
2015,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,24.0
2016,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,24.0
2017,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,22.0
2018,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,22.0
2019,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,24.0
2020,Northwest Territories,data.Bachelor's level,35 to 44 years,Female,23.0
2010,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,14.0
2011,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,13.0
2012,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,13.0
2013,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,12.0
2014,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,11.0
2015,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,13.0
2016,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,14.0
2017,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,13.0
2018,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,15.0
2019,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,14.0
2020,Northwest Territories,data.Bachelor's level,45 to 54 years,Both sexes,14.0
2010,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,11.0
2011,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,10.0
2012,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,9.0
2013,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,8.0
2014,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,8.0
2015,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,11.0
2016,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,13.0
2017,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,12.0
2018,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,14.0
2019,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,11.0
2020,Northwest Territories,data.Bachelor's level,45 to 54 years,Male,10.0
2010,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,18.0
2011,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,17.0
2012,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,17.0
2013,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,15.0
2014,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,14.0
2015,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,14.0
2016,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,14.0
2017,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,13.0
2018,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,15.0
2019,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,17.0
2020,Northwest Territories,data.Bachelor's level,45 to 54 years,Female,17.0
2010,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,18.0
2011,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,17.0
2012,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,15.0
2013,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,13.0
2014,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,18.0
2015,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,16.0
2016,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,11.0
2017,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,11.0
2018,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,12.0
2019,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,13.0
2020,Northwest Territories,data.Bachelor's level,55 to 64 years,Both sexes,12.0
2010,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,17.0
2011,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,20.0
2012,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,17.0
2013,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,12.0
2014,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,18.0
2015,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,14.0
2016,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,9.0
2017,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,10.0
2018,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,9.0
2019,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,13.0
2020,Northwest Territories,data.Bachelor's level,55 to 64 years,Male,12.0
2010,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,18.0
2011,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,13.0
2012,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,14.0
2013,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,15.0
2014,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,19.0
2015,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,18.0
2016,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,13.0
2017,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,13.0
2018,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,16.0
2019,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,14.0
2020,Northwest Territories,data.Bachelor's level,55 to 64 years,Female,12.0
2010,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,4.0
2011,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,5.0
2012,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,6.0
2013,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,7.0
2014,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,6.0
2015,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,8.0
2016,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,10.0
2017,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,11.0
2018,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,9.0
2019,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,7.0
2020,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Both sexes,8.0
2010,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,5.0
2011,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,5.0
2012,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,6.0
2013,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,7.0
2014,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,7.0
2015,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,7.0
2016,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,9.0
2017,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,11.0
2018,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,7.0
2019,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,5.0
2020,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Male,6.0
2010,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,3.0
2011,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,5.0
2012,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,6.0
2013,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,7.0
2014,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,6.0
2015,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,9.0
2016,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,12.0
2017,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,11.0
2018,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,10.0
2019,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,9.0
2020,Northwest Territories,data.Master's or Doctoral level,"data.Total, 25 to 64 years",Female,9.0
2010,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,
2011,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,4.0
2012,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,7.0
2013,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,6.0
2014,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,5.0
2015,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,9.0
2016,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,8.0
2017,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,5.0
2018,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,6.0
2019,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,4.0
2020,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Both sexes,4.0
2010,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2011,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2012,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,7.0
2013,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2014,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2015,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,7.0
2016,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2017,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2018,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2019,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2020,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Male,
2010,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,
2011,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,
2012,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,6.0
2013,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,6.0
2014,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,6.0
2015,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,11.0
2016,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,10.0
2017,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,7.0
2018,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,9.0
2019,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,
2020,Northwest Territories,data.Master's or Doctoral level,25 to 34 years,Female,
2010,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2011,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2012,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,9.0
2013,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,8.0
2014,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2015,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,12.0
2016,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,10.0
2017,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2018,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,8.0
2019,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2020,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Both sexes,
2010,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2011,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2012,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2013,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2014,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2015,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2016,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2017,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2018,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2019,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2020,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Male,
2010,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2011,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2012,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2013,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2014,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2015,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,12.0
2016,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,11.0
2017,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2018,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,13.0
2019,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2020,Northwest Territories,data.Master's or Doctoral level,30 to 34 years,Female,
2010,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,5.0
2011,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,5.0
2012,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,4.0
2013,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,6.0
2014,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,7.0
2015,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,9.0
2016,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,12.0
2017,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,16.0
2018,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,11.0
2019,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,9.0
2020,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Both sexes,13.0
2010,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,
2011,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,
2012,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,
2013,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,
2014,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,7.0
2015,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,8.0
2016,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,9.0
2017,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,13.0
2018,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,7.0
2019,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,8.0
2020,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Male,13.0
2010,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,
2011,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,
2012,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,
2013,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,7.0
2014,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,7.0
2015,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,10.0
2016,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,16.0
2017,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,18.0
2018,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,15.0
2019,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,11.0
2020,Northwest Territories,data.Master's or Doctoral level,35 to 44 years,Female,13.0
2010,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,5.0
2011,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,5.0
2012,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,7.0
2013,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,7.0
2014,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,6.0
2015,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,7.0
2016,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,12.0
2017,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,13.0
2018,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,9.0
2019,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,6.0
2020,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Both sexes,6.0
2010,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2011,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2012,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2013,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,8.0
2014,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,7.0
2015,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,6.0
2016,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,12.0
2017,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,18.0
2018,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,10.0
2019,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,
2020,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Male,
2010,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,
2011,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,
2012,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,6.0
2013,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,7.0
2014,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,
2015,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,7.0
2016,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,12.0
2017,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2018,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2019,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,8.0
2020,Northwest Territories,data.Master's or Doctoral level,45 to 54 years,Female,10.0
2010,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,
2011,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,
2012,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,7.0
2013,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,10.0
2014,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,8.0
2015,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,6.0
2016,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,8.0
2017,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,11.0
2018,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,10.0
2019,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,7.0
2020,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Both sexes,7.0
2010,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2011,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2012,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2013,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,11.0
2014,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,9.0
2015,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2016,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2017,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,10.0
2018,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,9.0
2019,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,
2020,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Male,9.0
2010,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Female,
2011,Northwest Territories,data.Master's or Doctoral level,55 to 64 years,Female,
