Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,0.02
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,0.08
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,0.02
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,0.02
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,0
2016,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2016,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2016,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2016,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2016,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2016,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Consommation énergétique finale,0.04
2016,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Agriculture,0.01
2016,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Résidentiel,0.01
2016,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Commerces et autres institutions,0.02
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Consommation énergétique finale,0.11
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total industriel,0
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total transport,0.08
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Agriculture,0.01
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Résidentiel,0.02
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Administrations publiques,0
2016,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,0.16
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,0.02
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,0.08
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,0.02
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,0.02
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,0
2017,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2017,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2017,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2017,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2017,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Consommation énergétique finale,0.04
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Total industriel,0.01
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Agriculture,0.01
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Résidentiel,0.01
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Administrations publiques,0
2017,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Commerces et autres institutions,0.02
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Consommation énergétique finale,0.11
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total industriel,0
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total transport,0.08
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Agriculture,0.01
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Résidentiel,0.02
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Administrations publiques,0
2017,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,0.15
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,0.01
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,0.07
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,0.02
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,0.02
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,0
2018,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2018,Par habitant,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,0.01
2018,Par habitant,Île-du-Prince-Édouard,Gaz naturel,Total industriel,0.01
2018,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2018,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2018,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2018,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2018,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Consommation énergétique finale,0.04
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Total industriel,0.01
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Agriculture,0.01
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Résidentiel,0.01
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Administrations publiques,0
2018,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Commerces et autres institutions,0.02
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Consommation énergétique finale,0.11
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total industriel,0
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total transport,0.07
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Agriculture,0.01
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Résidentiel,0.02
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Administrations publiques,0
2018,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Consommation énergétique finale,0.15
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total industriel,0.02
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Total transport,0.07
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Agriculture,0.02
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Résidentiel,0.02
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Administrations publiques,0
2019,Par habitant,Île-du-Prince-Édouard,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2019,Par habitant,Île-du-Prince-Édouard,Gaz naturel,Consommation énergétique finale,0.01
2019,Par habitant,Île-du-Prince-Édouard,Gaz naturel,Total industriel,0.01
2019,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2019,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2019,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2019,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2019,Par habitant,Île-du-Prince-Édouard,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Consommation énergétique finale,0.04
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Total industriel,0.01
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Agriculture,0.01
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Résidentiel,0.01
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Administrations publiques,0
2019,Par habitant,Île-du-Prince-Édouard,Hydroélectricité,Commerces et autres institutions,0.02
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Consommation énergétique finale,0.11
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total industriel,0
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Total transport,0.07
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Agriculture,0.01
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Résidentiel,0.02
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Administrations publiques,0
2019,Par habitant,Île-du-Prince-Édouard,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,0.19
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Total industriel,0.06
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Total transport,0.06
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Agriculture,0
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Résidentiel,0.04
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Administrations publiques,0
2015,Par habitant,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,0.03
2015,Par habitant,Québec,Gaz naturel,Consommation énergétique finale,0.03
2015,Par habitant,Québec,Gaz naturel,Total industriel,0.02
2015,Par habitant,Québec,Gaz naturel,Total transport,0
2015,Par habitant,Québec,Gaz naturel,Agriculture,0
2015,Par habitant,Québec,Gaz naturel,Résidentiel,0
2015,Par habitant,Québec,Gaz naturel,Administrations publiques,0
2015,Par habitant,Québec,Gaz naturel,Commerces et autres institutions,0.01
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2015,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2015,Par habitant,Québec,Hydroélectricité,Consommation énergétique finale,0.08
2015,Par habitant,Québec,Hydroélectricité,Total industriel,0.04
2015,Par habitant,Québec,Hydroélectricité,Total transport,0
2015,Par habitant,Québec,Hydroélectricité,Agriculture,0
2015,Par habitant,Québec,Hydroélectricité,Résidentiel,0.03
2015,Par habitant,Québec,Hydroélectricité,Administrations publiques,0
2015,Par habitant,Québec,Hydroélectricité,Commerces et autres institutions,0.01
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Total industriel,0.01
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Total transport,0.06
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Agriculture,0
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Résidentiel,0
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Administrations publiques,0
2015,Par habitant,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,0.19
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Total industriel,0.06
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Total transport,0.06
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Agriculture,0
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Résidentiel,0.03
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Administrations publiques,0
2016,Par habitant,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,0.02
2016,Par habitant,Québec,Total charbon,Consommation énergétique finale,0
2016,Par habitant,Québec,Total charbon,Total industriel,0
2016,Par habitant,Québec,Gaz naturel,Consommation énergétique finale,0.03
2016,Par habitant,Québec,Gaz naturel,Total industriel,0.02
2016,Par habitant,Québec,Gaz naturel,Total transport,0
2016,Par habitant,Québec,Gaz naturel,Agriculture,0
2016,Par habitant,Québec,Gaz naturel,Résidentiel,0
2016,Par habitant,Québec,Gaz naturel,Administrations publiques,0
2016,Par habitant,Québec,Gaz naturel,Commerces et autres institutions,0.01
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2016,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2016,Par habitant,Québec,Hydroélectricité,Consommation énergétique finale,0.08
2016,Par habitant,Québec,Hydroélectricité,Total industriel,0.04
2016,Par habitant,Québec,Hydroélectricité,Total transport,0
2016,Par habitant,Québec,Hydroélectricité,Agriculture,0
2016,Par habitant,Québec,Hydroélectricité,Résidentiel,0.03
2016,Par habitant,Québec,Hydroélectricité,Administrations publiques,0
2016,Par habitant,Québec,Hydroélectricité,Commerces et autres institutions,0.01
2016,Par habitant,Québec,Vapeur,Consommation énergétique finale,0
2016,Par habitant,Québec,Vapeur,Total industriel,0
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Total industriel,0.01
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Total transport,0.06
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Agriculture,0
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Administrations publiques,0
2016,Par habitant,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Total industriel,0.06
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Total transport,0.06
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Agriculture,0
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Résidentiel,0.03
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Administrations publiques,0
2017,Par habitant,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,0.03
2017,Par habitant,Québec,Gaz naturel,Consommation énergétique finale,0.03
2017,Par habitant,Québec,Gaz naturel,Total industriel,0.02
2017,Par habitant,Québec,Gaz naturel,Total transport,0
2017,Par habitant,Québec,Gaz naturel,Agriculture,0
2017,Par habitant,Québec,Gaz naturel,Résidentiel,0
2017,Par habitant,Québec,Gaz naturel,Administrations publiques,0
2017,Par habitant,Québec,Gaz naturel,Commerces et autres institutions,0.01
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2017,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2017,Par habitant,Québec,Hydroélectricité,Consommation énergétique finale,0.08
2017,Par habitant,Québec,Hydroélectricité,Total industriel,0.04
2017,Par habitant,Québec,Hydroélectricité,Total transport,0
2017,Par habitant,Québec,Hydroélectricité,Agriculture,0
2017,Par habitant,Québec,Hydroélectricité,Résidentiel,0.03
2017,Par habitant,Québec,Hydroélectricité,Administrations publiques,0
2017,Par habitant,Québec,Hydroélectricité,Commerces et autres institutions,0.01
2017,Par habitant,Québec,Vapeur,Consommation énergétique finale,0
2017,Par habitant,Québec,Vapeur,Total industriel,0
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Total industriel,0.01
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Total transport,0.06
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Agriculture,0
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Résidentiel,0
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Administrations publiques,0
2017,Par habitant,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,0.2
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Total industriel,0.06
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Total transport,0.06
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Agriculture,0
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Résidentiel,0.03
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Administrations publiques,0
2018,Par habitant,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,0.03
2018,Par habitant,Québec,Total charbon,Consommation énergétique finale,0
2018,Par habitant,Québec,Total charbon,Total industriel,0
2018,Par habitant,Québec,Gaz naturel,Consommation énergétique finale,0.03
2018,Par habitant,Québec,Gaz naturel,Total industriel,0.02
2018,Par habitant,Québec,Gaz naturel,Total transport,0
2018,Par habitant,Québec,Gaz naturel,Agriculture,0
2018,Par habitant,Québec,Gaz naturel,Résidentiel,0
2018,Par habitant,Québec,Gaz naturel,Administrations publiques,0
2018,Par habitant,Québec,Gaz naturel,Commerces et autres institutions,0.01
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2018,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2018,Par habitant,Québec,Hydroélectricité,Consommation énergétique finale,0.08
2018,Par habitant,Québec,Hydroélectricité,Total industriel,0.04
2018,Par habitant,Québec,Hydroélectricité,Total transport,0
2018,Par habitant,Québec,Hydroélectricité,Agriculture,0
2018,Par habitant,Québec,Hydroélectricité,Résidentiel,0.03
2018,Par habitant,Québec,Hydroélectricité,Administrations publiques,0
2018,Par habitant,Québec,Hydroélectricité,Commerces et autres institutions,0.01
2018,Par habitant,Québec,Vapeur,Consommation énergétique finale,0
2018,Par habitant,Québec,Vapeur,Total industriel,0
2018,Par habitant,Québec,Coke,Consommation énergétique finale,0
2018,Par habitant,Québec,Coke,Total industriel,0
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Total industriel,0.01
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Total transport,0.06
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Agriculture,0
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Résidentiel,0
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Administrations publiques,0
2018,Par habitant,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Consommation énergétique finale,0.2
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Total industriel,0.07
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Total transport,0.06
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Agriculture,0
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Résidentiel,0.04
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Administrations publiques,0
2019,Par habitant,Québec,Énergie primaire et secondaire totale,Commerces et autres institutions,0.03
2019,Par habitant,Québec,Total charbon,Consommation énergétique finale,0
2019,Par habitant,Québec,Total charbon,Total industriel,0
2019,Par habitant,Québec,Gaz naturel,Consommation énergétique finale,0.03
2019,Par habitant,Québec,Gaz naturel,Total industriel,0.02
2019,Par habitant,Québec,Gaz naturel,Total transport,0
2019,Par habitant,Québec,Gaz naturel,Agriculture,0
2019,Par habitant,Québec,Gaz naturel,Résidentiel,0
2019,Par habitant,Québec,Gaz naturel,Administrations publiques,0
2019,Par habitant,Québec,Gaz naturel,Commerces et autres institutions,0.01
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2019,Par habitant,Québec,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2019,Par habitant,Québec,Hydroélectricité,Consommation énergétique finale,0.09
2019,Par habitant,Québec,Hydroélectricité,Total industriel,0.04
2019,Par habitant,Québec,Hydroélectricité,Total transport,0
2019,Par habitant,Québec,Hydroélectricité,Agriculture,0
2019,Par habitant,Québec,Hydroélectricité,Résidentiel,0.03
2019,Par habitant,Québec,Hydroélectricité,Administrations publiques,0
2019,Par habitant,Québec,Hydroélectricité,Commerces et autres institutions,0.01
2019,Par habitant,Québec,Vapeur,Consommation énergétique finale,0
2019,Par habitant,Québec,Vapeur,Total industriel,0
2019,Par habitant,Québec,Coke,Consommation énergétique finale,0
2019,Par habitant,Québec,Coke,Total industriel,0
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Consommation énergétique finale,0.08
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Total industriel,0.01
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Total transport,0.06
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Agriculture,0
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Résidentiel,0
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Administrations publiques,0
2019,Par habitant,Québec,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Consommation énergétique finale,0.46
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Total industriel,0.13
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Total transport,0.16
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Agriculture,0.08
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Résidentiel,0.04
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Administrations publiques,0.01
2015,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Commerces et autres institutions,0.04
2015,Par habitant,Saskatchewan,Gaz naturel,Consommation énergétique finale,0.17
2015,Par habitant,Saskatchewan,Gaz naturel,Total industriel,0.07
2015,Par habitant,Saskatchewan,Gaz naturel,Total transport,0.04
2015,Par habitant,Saskatchewan,Gaz naturel,Agriculture,0
2015,Par habitant,Saskatchewan,Gaz naturel,Résidentiel,0.03
2015,Par habitant,Saskatchewan,Gaz naturel,Administrations publiques,0
2015,Par habitant,Saskatchewan,Gaz naturel,Commerces et autres institutions,0.02
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Total industriel,0.01
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2015,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2015,Par habitant,Saskatchewan,Hydroélectricité,Consommation énergétique finale,0.07
2015,Par habitant,Saskatchewan,Hydroélectricité,Total industriel,0.03
2015,Par habitant,Saskatchewan,Hydroélectricité,Total transport,0.01
2015,Par habitant,Saskatchewan,Hydroélectricité,Agriculture,0
2015,Par habitant,Saskatchewan,Hydroélectricité,Résidentiel,0.01
2015,Par habitant,Saskatchewan,Hydroélectricité,Administrations publiques,0
2015,Par habitant,Saskatchewan,Hydroélectricité,Commerces et autres institutions,0.02
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Consommation énergétique finale,0.21
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Total industriel,0.02
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Total transport,0.12
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Agriculture,0.07
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Résidentiel,0
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Administrations publiques,0.01
2015,Par habitant,Saskatchewan,Total des produits pétroliers raffinés,Commerces et autres institutions,0
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Consommation énergétique finale,0.44
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Total industriel,0.13
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Total transport,0.15
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Agriculture,0.07
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Résidentiel,0.04
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Administrations publiques,0.01
2016,Par habitant,Saskatchewan,Énergie primaire et secondaire totale,Commerces et autres institutions,0.04
2016,Par habitant,Saskatchewan,Gaz naturel,Consommation énergétique finale,0.16
2016,Par habitant,Saskatchewan,Gaz naturel,Total industriel,0.07
2016,Par habitant,Saskatchewan,Gaz naturel,Total transport,0.03
2016,Par habitant,Saskatchewan,Gaz naturel,Agriculture,0
2016,Par habitant,Saskatchewan,Gaz naturel,Résidentiel,0.03
2016,Par habitant,Saskatchewan,Gaz naturel,Administrations publiques,0
2016,Par habitant,Saskatchewan,Gaz naturel,Commerces et autres institutions,0.02
2016,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Consommation énergétique finale,0.01
2016,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Total transport,0
2016,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Agriculture,0
2016,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Résidentiel,0
2016,Par habitant,Saskatchewan,Liquides de gaz naturel des usines de gaz (LGN),Commerces et autres institutions,0
2016,Par habitant,Saskatchewan,Hydroélectricité,Consommation énergétique finale,0.07
2016,Par habitant,Saskatchewan,Hydroélectricité,Total industriel,0.03
