Year,Geography,Fuel type,Demand characteristics,Unit of measure,Value
2015,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Per capita,0.07
2015,Newfoundland and Labrador,Hydroelectricity,Total industrial,Per capita,0.02
2015,Newfoundland and Labrador,Hydroelectricity,Total transportation,Per capita,0.0
2015,Newfoundland and Labrador,Hydroelectricity,Agriculture,Per capita,0.0
2015,Newfoundland and Labrador,Hydroelectricity,Residential,Per capita,0.03
2015,Newfoundland and Labrador,Hydroelectricity,Public administration,Per capita,0.0
2015,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Per capita,0.02
2015,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Per capita,0.16
2015,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Per capita,0.03
2015,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Per capita,0.1
2015,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Per capita,0.0
2015,Newfoundland and Labrador,Total refined petroleum products,Residential,Per capita,0.01
2015,Newfoundland and Labrador,Total refined petroleum products,Public administration,Per capita,0.01
2015,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2016,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Per capita,0.24
2016,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Per capita,0.05
2016,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Per capita,0.1
2016,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Per capita,0.0
2016,Newfoundland and Labrador,Total primary and secondary energy,Residential,Per capita,0.04
2016,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Per capita,0.01
2016,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Per capita,0.04
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Per capita,0.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2016,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2016,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Per capita,0.07
2016,Newfoundland and Labrador,Hydroelectricity,Total industrial,Per capita,0.02
2016,Newfoundland and Labrador,Hydroelectricity,Total transportation,Per capita,0.0
2016,Newfoundland and Labrador,Hydroelectricity,Agriculture,Per capita,0.0
2016,Newfoundland and Labrador,Hydroelectricity,Residential,Per capita,0.03
2016,Newfoundland and Labrador,Hydroelectricity,Public administration,Per capita,0.0
2016,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Per capita,0.02
2016,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Per capita,0.17
2016,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Per capita,0.03
2016,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Per capita,0.1
2016,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Per capita,0.0
2016,Newfoundland and Labrador,Total refined petroleum products,Residential,Per capita,0.01
2016,Newfoundland and Labrador,Total refined petroleum products,Public administration,Per capita,0.01
2016,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2017,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Per capita,0.24
2017,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Per capita,0.05
2017,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Per capita,0.1
2017,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Per capita,0.0
2017,Newfoundland and Labrador,Total primary and secondary energy,Residential,Per capita,0.04
2017,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Per capita,0.01
2017,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Per capita,0.03
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Agriculture,Per capita,0.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2017,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2017,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Per capita,0.07
2017,Newfoundland and Labrador,Hydroelectricity,Total industrial,Per capita,0.02
2017,Newfoundland and Labrador,Hydroelectricity,Total transportation,Per capita,0.0
2017,Newfoundland and Labrador,Hydroelectricity,Agriculture,Per capita,0.0
2017,Newfoundland and Labrador,Hydroelectricity,Residential,Per capita,0.03
2017,Newfoundland and Labrador,Hydroelectricity,Public administration,Per capita,0.0
2017,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Per capita,0.02
2017,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Per capita,0.16
2017,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Per capita,0.03
2017,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Per capita,0.1
2017,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Per capita,0.0
2017,Newfoundland and Labrador,Total refined petroleum products,Residential,Per capita,0.01
2017,Newfoundland and Labrador,Total refined petroleum products,Public administration,Per capita,0.01
2017,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2018,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Per capita,0.24
2018,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Per capita,0.06
2018,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Per capita,0.1
2018,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Per capita,0.0
2018,Newfoundland and Labrador,Total primary and secondary energy,Residential,Per capita,0.04
2018,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Per capita,0.01
2018,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Per capita,0.04
2018,Newfoundland and Labrador,Total coal,"Energy use, final demand",Per capita,0.01
2018,Newfoundland and Labrador,Total coal,Total industrial,Per capita,0.01
2018,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Per capita,0.0
2018,Newfoundland and Labrador,Natural gas,Total industrial,Per capita,0.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2018,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2018,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Per capita,0.07
2018,Newfoundland and Labrador,Hydroelectricity,Total industrial,Per capita,0.02
2018,Newfoundland and Labrador,Hydroelectricity,Total transportation,Per capita,0.0
2018,Newfoundland and Labrador,Hydroelectricity,Agriculture,Per capita,0.0
2018,Newfoundland and Labrador,Hydroelectricity,Residential,Per capita,0.03
2018,Newfoundland and Labrador,Hydroelectricity,Public administration,Per capita,0.0
2018,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Per capita,0.02
2018,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Per capita,0.16
2018,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Per capita,0.03
2018,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Per capita,0.1
2018,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Per capita,0.0
2018,Newfoundland and Labrador,Total refined petroleum products,Residential,Per capita,0.01
2018,Newfoundland and Labrador,Total refined petroleum products,Public administration,Per capita,0.01
2018,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2019,Newfoundland and Labrador,Total primary and secondary energy,"Energy use, final demand",Per capita,0.24
2019,Newfoundland and Labrador,Total primary and secondary energy,Total industrial,Per capita,0.06
2019,Newfoundland and Labrador,Total primary and secondary energy,Total transportation,Per capita,0.1
2019,Newfoundland and Labrador,Total primary and secondary energy,Agriculture,Per capita,0.0
2019,Newfoundland and Labrador,Total primary and secondary energy,Residential,Per capita,0.04
2019,Newfoundland and Labrador,Total primary and secondary energy,Public administration,Per capita,0.01
2019,Newfoundland and Labrador,Total primary and secondary energy,Commercial and other institutional,Per capita,0.04
2019,Newfoundland and Labrador,Total coal,"Energy use, final demand",Per capita,0.01
2019,Newfoundland and Labrador,Total coal,Total industrial,Per capita,0.01
2019,Newfoundland and Labrador,Natural gas,"Energy use, final demand",Per capita,0.0
2019,Newfoundland and Labrador,Natural gas,Total industrial,Per capita,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2019,Newfoundland and Labrador,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2019,Newfoundland and Labrador,Hydroelectricity,"Energy use, final demand",Per capita,0.07
2019,Newfoundland and Labrador,Hydroelectricity,Total industrial,Per capita,0.03
2019,Newfoundland and Labrador,Hydroelectricity,Total transportation,Per capita,0.0
2019,Newfoundland and Labrador,Hydroelectricity,Agriculture,Per capita,0.0
2019,Newfoundland and Labrador,Hydroelectricity,Residential,Per capita,0.03
2019,Newfoundland and Labrador,Hydroelectricity,Public administration,Per capita,0.0
2019,Newfoundland and Labrador,Hydroelectricity,Commercial and other institutional,Per capita,0.02
2019,Newfoundland and Labrador,Total refined petroleum products,"Energy use, final demand",Per capita,0.16
2019,Newfoundland and Labrador,Total refined petroleum products,Total industrial,Per capita,0.03
2019,Newfoundland and Labrador,Total refined petroleum products,Total transportation,Per capita,0.1
2019,Newfoundland and Labrador,Total refined petroleum products,Agriculture,Per capita,0.0
2019,Newfoundland and Labrador,Total refined petroleum products,Residential,Per capita,0.01
2019,Newfoundland and Labrador,Total refined petroleum products,Public administration,Per capita,0.0
2019,Newfoundland and Labrador,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2015,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Per capita,0.47
2015,Northwest Territories,Total primary and secondary energy,Total industrial,Per capita,0.19
2015,Northwest Territories,Total primary and secondary energy,Total transportation,Per capita,0.13
2015,Northwest Territories,Total primary and secondary energy,Residential,Per capita,0.04
2015,Northwest Territories,Total primary and secondary energy,Public administration,Per capita,0.01
2015,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Per capita,0.1
2015,Northwest Territories,Natural gas,"Energy use, final demand",Per capita,0.07
2015,Northwest Territories,Natural gas,Residential,Per capita,0.0
2015,Northwest Territories,Natural gas,Commercial and other institutional,Per capita,0.07
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.01
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2015,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2015,Northwest Territories,Hydroelectricity,"Energy use, final demand",Per capita,0.02
2015,Northwest Territories,Hydroelectricity,Total industrial,Per capita,0.0
2015,Northwest Territories,Hydroelectricity,Residential,Per capita,0.01
2015,Northwest Territories,Hydroelectricity,Public administration,Per capita,0.0
2015,Northwest Territories,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2015,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Per capita,0.37
2015,Northwest Territories,Total refined petroleum products,Total industrial,Per capita,0.19
2015,Northwest Territories,Total refined petroleum products,Total transportation,Per capita,0.13
2015,Northwest Territories,Total refined petroleum products,Residential,Per capita,0.03
2015,Northwest Territories,Total refined petroleum products,Public administration,Per capita,0.0
2015,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2016,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Per capita,0.45
2016,Northwest Territories,Total primary and secondary energy,Total industrial,Per capita,0.15
2016,Northwest Territories,Total primary and secondary energy,Total transportation,Per capita,0.15
2016,Northwest Territories,Total primary and secondary energy,Residential,Per capita,0.03
2016,Northwest Territories,Total primary and secondary energy,Public administration,Per capita,0.02
2016,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Per capita,0.11
2016,Northwest Territories,Natural gas,"Energy use, final demand",Per capita,0.08
2016,Northwest Territories,Natural gas,Residential,Per capita,0.0
2016,Northwest Territories,Natural gas,Commercial and other institutional,Per capita,0.08
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.01
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2016,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2016,Northwest Territories,Hydroelectricity,"Energy use, final demand",Per capita,0.03
2016,Northwest Territories,Hydroelectricity,Total industrial,Per capita,0.0
2016,Northwest Territories,Hydroelectricity,Residential,Per capita,0.01
2016,Northwest Territories,Hydroelectricity,Public administration,Per capita,0.0
2016,Northwest Territories,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2016,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Per capita,0.33
2016,Northwest Territories,Total refined petroleum products,Total industrial,Per capita,0.15
2016,Northwest Territories,Total refined petroleum products,Total transportation,Per capita,0.15
2016,Northwest Territories,Total refined petroleum products,Residential,Per capita,0.02
2016,Northwest Territories,Total refined petroleum products,Public administration,Per capita,0.01
2016,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Per capita,0.01
2017,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Per capita,0.35
2017,Northwest Territories,Total primary and secondary energy,Total industrial,Per capita,0.13
2017,Northwest Territories,Total primary and secondary energy,Total transportation,Per capita,0.12
2017,Northwest Territories,Total primary and secondary energy,Residential,Per capita,0.02
2017,Northwest Territories,Total primary and secondary energy,Public administration,Per capita,0.03
2017,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Per capita,0.04
2017,Northwest Territories,Natural gas,"Energy use, final demand",Per capita,0.01
2017,Northwest Territories,Natural gas,Residential,Per capita,0.0
2017,Northwest Territories,Natural gas,Commercial and other institutional,Per capita,0.01
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.01
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2017,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2017,Northwest Territories,Hydroelectricity,"Energy use, final demand",Per capita,0.02
2017,Northwest Territories,Hydroelectricity,Total industrial,Per capita,0.0
2017,Northwest Territories,Hydroelectricity,Residential,Per capita,0.01
2017,Northwest Territories,Hydroelectricity,Public administration,Per capita,0.0
2017,Northwest Territories,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2017,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Per capita,0.31
2017,Northwest Territories,Total refined petroleum products,Total industrial,Per capita,0.12
2017,Northwest Territories,Total refined petroleum products,Total transportation,Per capita,0.12
2017,Northwest Territories,Total refined petroleum products,Residential,Per capita,0.01
2017,Northwest Territories,Total refined petroleum products,Public administration,Per capita,0.03
2017,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2018,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Per capita,0.37
2018,Northwest Territories,Total primary and secondary energy,Total industrial,Per capita,0.13
2018,Northwest Territories,Total primary and secondary energy,Total transportation,Per capita,0.12
2018,Northwest Territories,Total primary and secondary energy,Residential,Per capita,0.03
2018,Northwest Territories,Total primary and secondary energy,Public administration,Per capita,0.03
2018,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Per capita,0.07
2018,Northwest Territories,Natural gas,"Energy use, final demand",Per capita,0.03
2018,Northwest Territories,Natural gas,Residential,Per capita,0.0
2018,Northwest Territories,Natural gas,Commercial and other institutional,Per capita,0.03
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.02
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.01
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2018,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.01
2018,Northwest Territories,Hydroelectricity,"Energy use, final demand",Per capita,0.02
2018,Northwest Territories,Hydroelectricity,Total industrial,Per capita,0.0
2018,Northwest Territories,Hydroelectricity,Residential,Per capita,0.01
2018,Northwest Territories,Hydroelectricity,Public administration,Per capita,0.0
2018,Northwest Territories,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2018,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Per capita,0.3
2018,Northwest Territories,Total refined petroleum products,Total industrial,Per capita,0.12
2018,Northwest Territories,Total refined petroleum products,Total transportation,Per capita,0.12
2018,Northwest Territories,Total refined petroleum products,Residential,Per capita,0.01
2018,Northwest Territories,Total refined petroleum products,Public administration,Per capita,0.03
2018,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2019,Northwest Territories,Total primary and secondary energy,"Energy use, final demand",Per capita,0.35
2019,Northwest Territories,Total primary and secondary energy,Total industrial,Per capita,0.13
2019,Northwest Territories,Total primary and secondary energy,Total transportation,Per capita,0.12
2019,Northwest Territories,Total primary and secondary energy,Residential,Per capita,0.02
2019,Northwest Territories,Total primary and secondary energy,Public administration,Per capita,0.03
2019,Northwest Territories,Total primary and secondary energy,Commercial and other institutional,Per capita,0.05
2019,Northwest Territories,Natural gas,"Energy use, final demand",Per capita,0.0
2019,Northwest Territories,Natural gas,Total industrial,Per capita,0.0
2019,Northwest Territories,Natural gas,Residential,Per capita,0.0
2019,Northwest Territories,Natural gas,Commercial and other institutional,Per capita,0.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.02
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.01
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.01
2019,Northwest Territories,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.01
2019,Northwest Territories,Hydroelectricity,"Energy use, final demand",Per capita,0.02
2019,Northwest Territories,Hydroelectricity,Total industrial,Per capita,0.0
2019,Northwest Territories,Hydroelectricity,Residential,Per capita,0.01
2019,Northwest Territories,Hydroelectricity,Public administration,Per capita,0.0
2019,Northwest Territories,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2019,Northwest Territories,Total refined petroleum products,"Energy use, final demand",Per capita,0.3
2019,Northwest Territories,Total refined petroleum products,Total industrial,Per capita,0.12
2019,Northwest Territories,Total refined petroleum products,Total transportation,Per capita,0.12
2019,Northwest Territories,Total refined petroleum products,Residential,Per capita,0.01
2019,Northwest Territories,Total refined petroleum products,Public administration,Per capita,0.03
2019,Northwest Territories,Total refined petroleum products,Commercial and other institutional,Per capita,0.02
2015,Nova Scotia,Total primary and secondary energy,"Energy use, final demand",Per capita,0.16
2015,Nova Scotia,Total primary and secondary energy,Total industrial,Per capita,0.02
2015,Nova Scotia,Total primary and secondary energy,Total transportation,Per capita,0.07
2015,Nova Scotia,Total primary and secondary energy,Agriculture,Per capita,0.0
2015,Nova Scotia,Total primary and secondary energy,Residential,Per capita,0.04
2015,Nova Scotia,Total primary and secondary energy,Public administration,Per capita,0.01
2015,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,Per capita,0.02
2015,Nova Scotia,Natural gas,Residential,Per capita,0.0
2015,Nova Scotia,Natural gas,Public administration,Per capita,0.0
2015,Nova Scotia,Natural gas,Commercial and other institutional,Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2015,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2015,Nova Scotia,Hydroelectricity,"Energy use, final demand",Per capita,0.04
2015,Nova Scotia,Hydroelectricity,Total industrial,Per capita,0.01
2015,Nova Scotia,Hydroelectricity,Agriculture,Per capita,0.0
2015,Nova Scotia,Hydroelectricity,Residential,Per capita,0.02
2015,Nova Scotia,Hydroelectricity,Public administration,Per capita,0.0
2015,Nova Scotia,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2015,Nova Scotia,Total refined petroleum products,"Energy use, final demand",Per capita,0.11
2015,Nova Scotia,Total refined petroleum products,Total industrial,Per capita,0.01
2015,Nova Scotia,Total refined petroleum products,Total transportation,Per capita,0.07
2015,Nova Scotia,Total refined petroleum products,Agriculture,Per capita,0.0
2015,Nova Scotia,Total refined petroleum products,Residential,Per capita,0.02
2015,Nova Scotia,Total refined petroleum products,Public administration,Per capita,0.01
2015,Nova Scotia,Total refined petroleum products,Commercial and other institutional,Per capita,0.0
2016,Nova Scotia,Total primary and secondary energy,"Energy use, final demand",Per capita,0.15
2016,Nova Scotia,Total primary and secondary energy,Total industrial,Per capita,0.02
2016,Nova Scotia,Total primary and secondary energy,Total transportation,Per capita,0.07
2016,Nova Scotia,Total primary and secondary energy,Agriculture,Per capita,0.0
2016,Nova Scotia,Total primary and secondary energy,Residential,Per capita,0.03
2016,Nova Scotia,Total primary and secondary energy,Public administration,Per capita,0.01
2016,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,Per capita,0.02
2016,Nova Scotia,Natural gas,Residential,Per capita,0.0
2016,Nova Scotia,Natural gas,Public administration,Per capita,0.0
2016,Nova Scotia,Natural gas,Commercial and other institutional,Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2016,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2016,Nova Scotia,Hydroelectricity,"Energy use, final demand",Per capita,0.04
2016,Nova Scotia,Hydroelectricity,Agriculture,Per capita,0.0
2016,Nova Scotia,Hydroelectricity,Residential,Per capita,0.02
2016,Nova Scotia,Hydroelectricity,Public administration,Per capita,0.0
2016,Nova Scotia,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2016,Nova Scotia,Total refined petroleum products,"Energy use, final demand",Per capita,0.1
2016,Nova Scotia,Total refined petroleum products,Total industrial,Per capita,0.01
2016,Nova Scotia,Total refined petroleum products,Total transportation,Per capita,0.07
2016,Nova Scotia,Total refined petroleum products,Residential,Per capita,0.01
2016,Nova Scotia,Total refined petroleum products,Public administration,Per capita,0.01
2016,Nova Scotia,Total refined petroleum products,Commercial and other institutional,Per capita,0.0
2017,Nova Scotia,Total primary and secondary energy,"Energy use, final demand",Per capita,0.16
2017,Nova Scotia,Total primary and secondary energy,Total industrial,Per capita,0.02
2017,Nova Scotia,Total primary and secondary energy,Total transportation,Per capita,0.07
2017,Nova Scotia,Total primary and secondary energy,Agriculture,Per capita,0.0
2017,Nova Scotia,Total primary and secondary energy,Residential,Per capita,0.03
2017,Nova Scotia,Total primary and secondary energy,Public administration,Per capita,0.01
2017,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,Per capita,0.02
2017,Nova Scotia,Natural gas,Residential,Per capita,0.0
2017,Nova Scotia,Natural gas,Public administration,Per capita,0.0
2017,Nova Scotia,Natural gas,Commercial and other institutional,Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),Total industrial,Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),Total transportation,Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),Agriculture,Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),Residential,Per capita,0.0
2017,Nova Scotia,Gas plant natural gas liquids (NGL's),Commercial and other institutional,Per capita,0.0
2017,Nova Scotia,Hydroelectricity,"Energy use, final demand",Per capita,0.04
2017,Nova Scotia,Hydroelectricity,Total industrial,Per capita,0.01
2017,Nova Scotia,Hydroelectricity,Agriculture,Per capita,0.0
2017,Nova Scotia,Hydroelectricity,Residential,Per capita,0.02
2017,Nova Scotia,Hydroelectricity,Public administration,Per capita,0.0
2017,Nova Scotia,Hydroelectricity,Commercial and other institutional,Per capita,0.01
2017,Nova Scotia,Total refined petroleum products,"Energy use, final demand",Per capita,0.1
2017,Nova Scotia,Total refined petroleum products,Total industrial,Per capita,0.01
2017,Nova Scotia,Total refined petroleum products,Total transportation,Per capita,0.07
2017,Nova Scotia,Total refined petroleum products,Agriculture,Per capita,0.0
2017,Nova Scotia,Total refined petroleum products,Residential,Per capita,0.02
2017,Nova Scotia,Total refined petroleum products,Public administration,Per capita,0.01
2017,Nova Scotia,Total refined petroleum products,Commercial and other institutional,Per capita,0.0
2018,Nova Scotia,Total primary and secondary energy,"Energy use, final demand",Per capita,0.16
2018,Nova Scotia,Total primary and secondary energy,Total industrial,Per capita,0.02
2018,Nova Scotia,Total primary and secondary energy,Total transportation,Per capita,0.08
2018,Nova Scotia,Total primary and secondary energy,Agriculture,Per capita,0.0
2018,Nova Scotia,Total primary and secondary energy,Residential,Per capita,0.03
2018,Nova Scotia,Total primary and secondary energy,Public administration,Per capita,0.01
2018,Nova Scotia,Total primary and secondary energy,Commercial and other institutional,Per capita,0.02
2018,Nova Scotia,Total coal,"Energy use, final demand",Per capita,0.0
2018,Nova Scotia,Total coal,Total industrial,Per capita,0.0
2018,Nova Scotia,Natural gas,"Energy use, final demand",Per capita,0.01
2018,Nova Scotia,Natural gas,Total industrial,Per capita,0.0
2018,Nova Scotia,Natural gas,Total transportation,Per capita,0.0
2018,Nova Scotia,Natural gas,Residential,Per capita,0.0
2018,Nova Scotia,Natural gas,Public administration,Per capita,0.0
2018,Nova Scotia,Natural gas,Commercial and other institutional,Per capita,0.0
2018,Nova Scotia,Gas plant natural gas liquids (NGL's),"Energy use, final demand",Per capita,0.0
