Year,Units,data.Geography,data.Offences,data.Age of accused,data.Sex of accused,GeoCode,Value
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.12 to 15 years,data.Sex unknown,60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.16 and 17 years,"data.Total, sex of accused",60,161
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.16 and 17 years,data.Males,60,369
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.16 and 17 years,data.Females,60,85
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.16 and 17 years,data.Sex unknown,60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Males,60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Females,60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Other ages,data.Sex unknown,60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",60,0
2015/2016,data.Youth courts,data.Yukon,data.Criminal Code traffic,data.Age not applicable,data.Company,60,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",61,78
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Males,61,66
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Females,61,8
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,"data.Total, age of accused",data.Sex unknown,61,85
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.12 to 15 years,"data.Total, sex of accused",61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.12 to 15 years,data.Males,61,150
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.12 to 15 years,data.Sex unknown,61,92
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.16 and 17 years,"data.Total, sex of accused",61,65
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.16 and 17 years,data.Males,61,64
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.16 and 17 years,data.Females,61,8
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.16 and 17 years,data.Sex unknown,61,80
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Other ages,"data.Total, sex of accused",61,164
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Males,61,164
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Other ages,data.Sex unknown,61,158
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total offences,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",61,80
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Males,61,90
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,61,88
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.12 to 15 years,"data.Total, sex of accused",61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.12 to 15 years,data.Males,61,150
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.12 to 15 years,data.Sex unknown,61,92
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.16 and 17 years,"data.Total, sex of accused",61,78
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.16 and 17 years,data.Males,61,65
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.16 and 17 years,data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.16 and 17 years,data.Sex unknown,61,83
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",61,164
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Males,61,164
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Other ages,data.Sex unknown,61,158
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Total Criminal Code,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused",data.Males,61,157
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused",data.Females,61,22
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,61,96
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.12 to 15 years,"data.Total, sex of accused",61,158
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.12 to 15 years,data.Males,61,169
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.12 to 15 years,data.Sex unknown,61,78
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.16 and 17 years,"data.Total, sex of accused",61,96
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.16 and 17 years,data.Males,61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.16 and 17 years,data.Females,61,22
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.16 and 17 years,data.Sex unknown,61,96
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",61,103
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Other ages,data.Males,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Other ages,data.Sex unknown,61,103
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against the person,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",61,78
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,"data.Total, age of accused",data.Males,61,66
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,"data.Total, age of accused",data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,61,85
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.12 to 15 years,"data.Total, sex of accused",61,57
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.12 to 15 years,data.Males,61,19
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.12 to 15 years,data.Sex unknown,61,57
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.16 and 17 years,"data.Total, sex of accused",61,82
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.16 and 17 years,data.Males,61,115
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.16 and 17 years,data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.16 and 17 years,data.Sex unknown,61,85
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Other ages,"data.Total, sex of accused",61,188
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Other ages,data.Males,61,164
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Other ages,data.Sex unknown,61,212
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Crimes against property,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",61,71
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,"data.Total, age of accused",data.Males,61,43
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,"data.Total, age of accused",data.Females,61,53
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,61,81
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.12 to 15 years,"data.Total, sex of accused",61,141
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.12 to 15 years,data.Males,61,150
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.12 to 15 years,data.Sex unknown,61,106
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.16 and 17 years,"data.Total, sex of accused",61,43
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.16 and 17 years,data.Males,61,22
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.16 and 17 years,data.Females,61,53
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.16 and 17 years,data.Sex unknown,61,56
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Other ages,"data.Total, sex of accused",61,224
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Males,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Other ages,data.Sex unknown,61,224
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Administration of justice,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",61,80
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Males,61,59
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Company,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.12 to 15 years,"data.Total, sex of accused",61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.12 to 15 years,data.Males,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.12 to 15 years,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.12 to 15 years,data.Sex unknown,61,113
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.16 and 17 years,"data.Total, sex of accused",61,70
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.16 and 17 years,data.Males,61,59
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.16 and 17 years,data.Females,61,1
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.16 and 17 years,data.Sex unknown,61,184
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Males,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Females,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Other ages,data.Sex unknown,61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",61,0
2015/2016,data.Youth courts,data.Northwest Territories,data.Criminal Code traffic,data.Age not applicable,data.Company,61,0
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,"data.Total, age of accused","data.Total, sex of accused",62,93
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Males,62,93
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Females,62,92
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,"data.Total, age of accused",data.Sex unknown,62,177
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.12 to 15 years,"data.Total, sex of accused",62,110
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.12 to 15 years,data.Males,62,127
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.12 to 15 years,data.Females,62,61
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.12 to 15 years,data.Sex unknown,62,219
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.16 and 17 years,"data.Total, sex of accused",62,92
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.16 and 17 years,data.Males,62,82
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.16 and 17 years,data.Females,62,158
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.16 and 17 years,data.Sex unknown,62,2
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Other ages,"data.Total, sex of accused",62,15
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Other ages,data.Males,62,37
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Other ages,data.Sex unknown,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total offences,data.Age not applicable,data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",62,93
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Males,62,93
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Females,62,93
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,"data.Total, age of accused",data.Sex unknown,62,177
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.12 to 15 years,"data.Total, sex of accused",62,113
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.12 to 15 years,data.Males,62,127
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.12 to 15 years,data.Females,62,64
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.12 to 15 years,data.Sex unknown,62,219
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.16 and 17 years,"data.Total, sex of accused",62,87
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.16 and 17 years,data.Males,62,70
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.16 and 17 years,data.Females,62,158
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.16 and 17 years,data.Sex unknown,62,2
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Other ages,"data.Total, sex of accused",62,9
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Males,62,15
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Other ages,data.Sex unknown,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Total Criminal Code,data.Age not applicable,data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused","data.Total, sex of accused",62,99
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Males,62,100
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Females,62,92
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,"data.Total, age of accused",data.Sex unknown,62,219
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.12 to 15 years,"data.Total, sex of accused",62,110
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.12 to 15 years,data.Males,62,129
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.12 to 15 years,data.Females,62,36
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.12 to 15 years,data.Sex unknown,62,219
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.16 and 17 years,"data.Total, sex of accused",62,75
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.16 and 17 years,data.Males,62,39
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.16 and 17 years,data.Females,62,162
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.16 and 17 years,data.Sex unknown,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Other ages,"data.Total, sex of accused",62,156
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Males,62,156
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Other ages,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against the person,data.Age not applicable,data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused","data.Total, sex of accused",62,93
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Males,62,93
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Females,62,167
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,"data.Total, age of accused",data.Sex unknown,62,90
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.12 to 15 years,"data.Total, sex of accused",62,163
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.12 to 15 years,data.Males,62,121
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.12 to 15 years,data.Females,62,275
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.12 to 15 years,data.Sex unknown,62,177
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.16 and 17 years,"data.Total, sex of accused",62,70
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.16 and 17 years,data.Males,62,87
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.16 and 17 years,data.Females,62,58
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.16 and 17 years,data.Sex unknown,62,2
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Other ages,"data.Total, sex of accused",62,59
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Males,62,59
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Other ages,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Crimes against property,data.Age not applicable,data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused","data.Total, sex of accused",62,6
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Males,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Females,62,97
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,"data.Total, age of accused",data.Sex unknown,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.12 to 15 years,"data.Total, sex of accused",62,11
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.12 to 15 years,data.Males,62,64
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.12 to 15 years,data.Females,62,11
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.12 to 15 years,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.16 and 17 years,"data.Total, sex of accused",62,81
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.16 and 17 years,data.Males,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.16 and 17 years,data.Females,62,183
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.16 and 17 years,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Other ages,"data.Total, sex of accused",62,1
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Males,62,8
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Other ages,data.Sex unknown,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Administration of justice,data.Age not applicable,data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused","data.Total, sex of accused",62,107
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Males,62,47
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Females,62,121
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Company,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,"data.Total, age of accused",data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.12 to 15 years,"data.Total, sex of accused",62,61
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.12 to 15 years,data.Males,62,1
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.12 to 15 years,data.Females,62,121
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.12 to 15 years,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.16 and 17 years,"data.Total, sex of accused",62,107
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.16 and 17 years,data.Males,62,92
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.16 and 17 years,data.Females,62,121
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.16 and 17 years,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Males,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Females,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Other ages,data.Sex unknown,62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Age not applicable,"data.Total, sex of accused",62,0
2015/2016,data.Youth courts,data.Nunavut,data.Criminal Code traffic,data.Age not applicable,data.Company,62,0
2016/2017,data.Youth courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Males,,137
2016/2017,data.Youth courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Females,,133
2016/2017,data.Youth courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Company,,1
2016/2017,data.Youth courts,data.Canada,data.Total offences,"data.Total, age of accused",data.Sex unknown,,131
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.12 to 15 years,"data.Total, sex of accused",,147
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.12 to 15 years,data.Males,,148
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.12 to 15 years,data.Females,,141
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.12 to 15 years,data.Sex unknown,,139
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.16 and 17 years,"data.Total, sex of accused",,128
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.16 and 17 years,data.Males,,131
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.16 and 17 years,data.Females,,127
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.16 and 17 years,data.Sex unknown,,121
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Other ages,"data.Total, sex of accused",,86
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Other ages,data.Males,,63
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Other ages,data.Females,,51
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Other ages,data.Sex unknown,,199
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Age not applicable,"data.Total, sex of accused",,1
2016/2017,data.Youth courts,data.Canada,data.Total offences,data.Age not applicable,data.Company,,1
2016/2017,data.Youth courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused","data.Total, sex of accused",,148
2016/2017,data.Youth courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Males,,148
2016/2017,data.Youth courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Females,,141
2016/2017,data.Youth courts,data.Canada,data.Total Criminal Code,"data.Total, age of accused",data.Company,,1
