Year,Units,Geography,Offences,Age,Sex,Value
2016/2017,Youth courts,Quebec,Total offences,Other ages,Males,143
2017/2018,Youth courts,Quebec,Total offences,Other ages,Males,135
2018/2019,Youth courts,Quebec,Total offences,Other ages,Males,188
2014/2015,Youth courts,Quebec,Total offences,Other ages,Females,234
2015/2016,Youth courts,Quebec,Total offences,Other ages,Females,0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Females,103
2017/2018,Youth courts,Quebec,Total offences,Other ages,Females,0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Females,75
2014/2015,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0
2015/2016,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0
2016/2017,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0
2017/2018,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0
2018/2019,Youth courts,Quebec,Total offences,Other ages,Sex unknown,0
2014/2015,Youth courts,Quebec,Total offences,Age not applicable,Total,0
2015/2016,Youth courts,Quebec,Total offences,Age not applicable,Total,0
2016/2017,Youth courts,Quebec,Total offences,Age not applicable,Total,0
2017/2018,Youth courts,Quebec,Total offences,Age not applicable,Total,0
2018/2019,Youth courts,Quebec,Total offences,Age not applicable,Total,0
2014/2015,Youth courts,Quebec,Total offences,Age not applicable,Company,0
2015/2016,Youth courts,Quebec,Total offences,Age not applicable,Company,0
2016/2017,Youth courts,Quebec,Total offences,Age not applicable,Company,0
2017/2018,Youth courts,Quebec,Total offences,Age not applicable,Company,0
2018/2019,Youth courts,Quebec,Total offences,Age not applicable,Company,0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Total,159
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Total,158
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Total,169
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Total,168
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Total,167
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Males,155
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Males,158
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Males,165
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Males,165
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Males,165
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Females,169
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Females,158
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Females,176
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Females,175
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Females,169
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Company,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Company,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Company,0
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Company,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Company,0
2014/2015,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,1
2017/2018,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Total,Sex unknown,162
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,177
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,175
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,176
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,178
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Total,180
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,177
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,176
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Males,177
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,179
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,169
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,176
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,183
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Females,183
2014/2015,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Total Criminal Code,12 to 15 years,Sex unknown,175
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,143
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,145
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,156
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,155
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Total,149
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,140
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,143
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,153
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,155
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Males,149
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,159
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,148
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,175
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,162
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Females,149
2014/2015,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,1
2017/2018,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Total Criminal Code,16 and 17 years,Sex unknown,148
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Total,170
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Total,166
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Total,212
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Total,179
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Total,154
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Males,170
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Males,166
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Males,212
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Males,179
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Males,188
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Females,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Females,120
2014/2015,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0
2017/2018,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Other ages,Sex unknown,0
2014/2015,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0
2017/2018,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Age not applicable,Total,0
2014/2015,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0
2015/2016,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0
2016/2017,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0
2017/2018,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0
2018/2019,Youth courts,Quebec,Total Criminal Code,Age not applicable,Company,0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Total,170
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Total,176
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Total,182
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Total,178
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Total,174
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Males,169
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Males,177
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Males,182
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Males,176
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Males,175
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Females,173
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Females,172
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Females,182
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Females,186
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Females,173
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Company,0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Company,0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Company,0
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Company,0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Company,0
2014/2015,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,1
2017/2018,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against the person,Total,Sex unknown,175
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,184
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,189
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Total,183
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,188
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,185
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,190
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,183
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Males,183
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,177
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,183
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,183
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,190
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Females,190
2014/2015,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against the person,12 to 15 years,Sex unknown,175
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,155
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,162
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,169
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,166
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Total,156
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,153
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,164
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,168
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,164
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Males,157
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,166
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,155
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,176
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,181
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Females,148
2014/2015,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,1
2017/2018,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against the person,16 and 17 years,Sex unknown,0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Total,349
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Total,177
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Total,218
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Total,1254
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Total,188
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Males,349
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Males,177
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Males,218
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Males,1254
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Males,188
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Females,0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Females,0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Females,0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Females,0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Females,0
2014/2015,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against the person,Other ages,Sex unknown,0
2014/2015,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0
2015/2016,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0
2016/2017,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0
2017/2018,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0
2018/2019,Youth courts,Quebec,Crimes against the person,Age not applicable,Total,0
2014/2015,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0
2015/2016,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0
2016/2017,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0
2017/2018,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0
2018/2019,Youth courts,Quebec,Crimes against the person,Age not applicable,Company,0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Total,148
2015/2016,Youth courts,Quebec,Crimes against property,Total,Total,141
2016/2017,Youth courts,Quebec,Crimes against property,Total,Total,155
2017/2018,Youth courts,Quebec,Crimes against property,Total,Total,155
2018/2019,Youth courts,Quebec,Crimes against property,Total,Total,155
2014/2015,Youth courts,Quebec,Crimes against property,Total,Males,145
2015/2016,Youth courts,Quebec,Crimes against property,Total,Males,137
2016/2017,Youth courts,Quebec,Crimes against property,Total,Males,148
2017/2018,Youth courts,Quebec,Crimes against property,Total,Males,155
2018/2019,Youth courts,Quebec,Crimes against property,Total,Males,155
2014/2015,Youth courts,Quebec,Crimes against property,Total,Females,163
2015/2016,Youth courts,Quebec,Crimes against property,Total,Females,157
2016/2017,Youth courts,Quebec,Crimes against property,Total,Females,162
2017/2018,Youth courts,Quebec,Crimes against property,Total,Females,150
2018/2019,Youth courts,Quebec,Crimes against property,Total,Females,156
2014/2015,Youth courts,Quebec,Crimes against property,Total,Company,0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Company,0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Company,0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Company,0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Company,0
2014/2015,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against property,Total,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against property,Total,Sex unknown,118
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,155
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,154
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,155
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,162
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Total,177
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,155
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,148
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,160
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,162
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Males,180
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,176
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,162
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,141
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,157
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Females,176
2014/2015,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against property,12 to 15 years,Sex unknown,118
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,141
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,133
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,148
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,148
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Total,142
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,138
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,131
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,141
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,148
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Males,141
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,154
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,147
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,181
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,135
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Females,154
2014/2015,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against property,16 and 17 years,Sex unknown,0
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Total,1
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Total,0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Total,187
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Total,179
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Total,120
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Males,1
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Males,0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Males,187
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Males,179
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Males,0
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Females,0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Females,0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Females,0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Females,0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Females,120
2014/2015,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0
2015/2016,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0
2016/2017,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0
2017/2018,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0
2018/2019,Youth courts,Quebec,Crimes against property,Other ages,Sex unknown,0
2014/2015,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0
2015/2016,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0
2016/2017,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0
2017/2018,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0
2018/2019,Youth courts,Quebec,Crimes against property,Age not applicable,Total,0
2014/2015,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0
2015/2016,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0
2016/2017,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0
2017/2018,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0
2018/2019,Youth courts,Quebec,Crimes against property,Age not applicable,Company,0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Total,85
2015/2016,Youth courts,Quebec,Administration of justice,Total,Total,94
2016/2017,Youth courts,Quebec,Administration of justice,Total,Total,85
2017/2018,Youth courts,Quebec,Administration of justice,Total,Total,92
2018/2019,Youth courts,Quebec,Administration of justice,Total,Total,90
2014/2015,Youth courts,Quebec,Administration of justice,Total,Males,73
2015/2016,Youth courts,Quebec,Administration of justice,Total,Males,78
2016/2017,Youth courts,Quebec,Administration of justice,Total,Males,71
2017/2018,Youth courts,Quebec,Administration of justice,Total,Males,78
2018/2019,Youth courts,Quebec,Administration of justice,Total,Males,85
2014/2015,Youth courts,Quebec,Administration of justice,Total,Females,120
2015/2016,Youth courts,Quebec,Administration of justice,Total,Females,130
2016/2017,Youth courts,Quebec,Administration of justice,Total,Females,170
2017/2018,Youth courts,Quebec,Administration of justice,Total,Females,141
2018/2019,Youth courts,Quebec,Administration of justice,Total,Females,153
2014/2015,Youth courts,Quebec,Administration of justice,Total,Company,0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Company,0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Company,0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Company,0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Company,0
2014/2015,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0
2015/2016,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0
2016/2017,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0
2017/2018,Youth courts,Quebec,Administration of justice,Total,Sex unknown,0
2018/2019,Youth courts,Quebec,Administration of justice,Total,Sex unknown,148
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,78
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,127
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,105
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,104
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Total,107
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,73
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,99
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,78
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,127
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Males,99
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,122
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,155
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,183
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,82
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Females,149
2014/2015,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Administration of justice,12 to 15 years,Sex unknown,0
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,85
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,82
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,75
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,92
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Total,88
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,73
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,75
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,69
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,73
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Males,78
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,120
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,113
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,169
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,154
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Females,162
2014/2015,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0
2015/2016,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0
2016/2017,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0
2017/2018,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,0
2018/2019,Youth courts,Quebec,Administration of justice,16 and 17 years,Sex unknown,148
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Total,148
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Total,1
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Total,0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Total,66
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Total,0
2014/2015,Youth courts,Quebec,Administration of justice,Other ages,Males,148
2015/2016,Youth courts,Quebec,Administration of justice,Other ages,Males,1
2016/2017,Youth courts,Quebec,Administration of justice,Other ages,Males,0
2017/2018,Youth courts,Quebec,Administration of justice,Other ages,Males,66
2018/2019,Youth courts,Quebec,Administration of justice,Other ages,Males,0
