Year,Géographie,data.Type of work,data.National Occupational Classification (NOC),Groupe d'âge,Value
2015,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2016,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2017,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2018,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2019,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2020,Saskatchewan,data.Full-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2015,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.83
2016,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.83
2017,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.86
2018,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.85
2019,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.86
2020,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 ans et plus,0.92
2015,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.99
2016,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2017,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2018,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2019,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,0.95
2020,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2015,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.83
2016,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.81
2017,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.88
2018,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.86
2019,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.86
2020,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],25 à 54 ans,0.91
2015,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.9
2016,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.8
2017,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.81
2018,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.84
2019,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.76
2020,Saskatchewan,data.Full-time employees,data.Sales and service occupations [6],55 ans et plus,0.82
2015,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.81
2016,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.78
2017,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.74
2018,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.77
2019,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.71
2020,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 ans et plus,0.87
2015,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,
2016,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.9
2017,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,
2018,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.9
2019,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,0.9
2020,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],15 à 24 ans,
2015,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.79
2016,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.84
2017,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.73
2018,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.77
2019,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.67
2020,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],25 à 54 ans,0.9
2015,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,
2016,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,
2017,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.65
2018,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.79
2019,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,0.76
2020,Saskatchewan,data.Full-time employees,data.Trades - transport and equipment operators and related occupations [7],55 ans et plus,
2015,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.6
2016,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.62
2017,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.66
2018,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.75
2019,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.67
2020,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 ans et plus,0.68
2015,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2016,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,
2017,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.85
2018,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.71
2019,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.81
2020,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],15 à 24 ans,0.85
2015,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.56
2016,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.66
2017,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.67
2018,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.8
2019,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.63
2020,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],25 à 54 ans,0.7
2015,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2016,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2017,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2018,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2019,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2020,Saskatchewan,data.Full-time employees,data.Natural resources - agriculture and related production occupations [8],55 ans et plus,
2015,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.64
2016,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.74
2017,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.73
2018,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.68
2019,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.73
2020,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 ans et plus,0.63
2015,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2016,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2017,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2018,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2019,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2020,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],15 à 24 ans,
2015,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.65
2016,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.72
2017,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.63
2018,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.63
2019,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.66
2020,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],25 à 54 ans,0.69
2015,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,
2016,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,
2017,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.79
2018,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,
2019,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,
2020,Saskatchewan,data.Full-time employees,data.Occupations in manufacturing and utilities [9],55 ans et plus,0.58
2015,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.15
2016,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.15
2017,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.11
2018,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.21
2019,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.07
2020,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 ans et plus,1.11
2015,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.05
2016,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.02
2017,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2018,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2019,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.0
2020,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,15 à 24 ans,1.03
2015,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.02
2016,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.1
2017,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.04
2018,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.25
2019,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.19
2020,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,25 à 54 ans,1.11
2015,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,0.91
2016,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.03
2017,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,0.95
2018,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,0.94
2019,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.02
2020,Saskatchewan,data.Part-time employees,data.Total employees - all occupations,55 ans et plus,1.0
2015,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2016,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2017,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2018,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2019,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2020,Saskatchewan,data.Part-time employees,data.Management occupations [0],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2016,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2017,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2018,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2019,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2020,Saskatchewan,data.Part-time employees,data.Management occupations [0],25 à 54 ans,
2015,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Management occupations [0],55 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.19
2016,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.25
2017,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.12
2018,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.0
2019,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.17
2020,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 ans et plus,1.08
2015,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,
2016,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,
2017,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.12
2018,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,0.81
2019,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,1.0
2020,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.11
2016,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,
2017,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,
2018,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,
2019,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.12
2020,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],25 à 54 ans,1.2
2015,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.22
2017,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.91
2018,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,0.84
2020,Saskatchewan,data.Part-time employees,data.Business - finance and administration occupations [1],55 ans et plus,1.13
2015,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,0.66
2016,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 ans et plus,1.23
2015,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2016,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2017,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2018,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2019,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2020,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2016,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2017,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2018,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2019,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,
2020,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],25 à 54 ans,1.23
2015,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Natural and applied sciences and related occupations [2],55 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.01
2016,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.31
2018,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.22
2019,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.09
2020,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 ans et plus,1.5
2015,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2016,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2017,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2018,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2019,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2020,Saskatchewan,data.Part-time employees,data.Health occupations [3],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,
2016,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,
2017,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,1.46
2018,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,
2019,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,
2020,Saskatchewan,data.Part-time employees,data.Health occupations [3],25 à 54 ans,
2015,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Health occupations [3],55 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.85
2016,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,1.02
2017,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,1.04
2018,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.79
2019,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,1.04
2020,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 ans et plus,0.75
2015,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2016,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2017,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2018,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2019,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2020,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.8
2016,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,1.09
2017,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,1.14
2018,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.89
2019,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,1.05
2020,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],25 à 54 ans,0.78
2015,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.65
2016,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,1.35
2017,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,0.87
2020,Saskatchewan,data.Part-time employees,data.Occupations in education - law and social - community and government services [4],55 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.0
2016,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.94
2017,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,0.83
2018,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.03
2019,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,1.07
2020,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.1
2016,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.0
2017,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.91
2018,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,0.88
2019,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,1.06
2020,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],15 à 24 ans,
2015,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2016,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2017,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2018,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2019,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2020,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],25 à 54 ans,
2015,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2016,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2017,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2018,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2019,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2020,Saskatchewan,data.Part-time employees,data.Occupations in art - culture - recreation and sport [5],55 ans et plus,
2015,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.09
2016,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.04
2017,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.02
2018,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.04
2019,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.04
2020,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 ans et plus,1.02
2015,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.02
2016,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2017,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2018,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.01
2019,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2020,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],15 à 24 ans,1.0
2015,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.02
2016,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.04
2017,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.08
2018,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.15
2019,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.02
2020,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],25 à 54 ans,1.06
2015,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.92
2016,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.91
2017,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,1.01
2018,Saskatchewan,data.Part-time employees,data.Sales and service occupations [6],55 ans et plus,0.91
