Year,Units,Géographie,Offences,Âge,Sexe,Value
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Total,Sex unknown,51.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Total,Sex unknown,60.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Total,Sex unknown,62.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Total,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Total,Sex unknown,79.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Total,15.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Total,50.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Total,64.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Total,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Total,81.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Hommes,18.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Hommes,50.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Hommes,39.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Hommes,71.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Hommes,144.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Femmes,15.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Femmes,15.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Femmes,99.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Femmes,124.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Femmes,92.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Sex unknown,51.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Sex unknown,113.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Sex unknown,103.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,12 to 15 years,Sex unknown,71.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Total,57.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Total,51.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Total,43.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Total,31.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Total,45.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Hommes,61.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Hommes,50.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Hommes,64.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Hommes,29.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Hommes,36.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Femmes,8.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Femmes,71.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Femmes,22.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Femmes,38.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Femmes,36.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Sex unknown,50.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Sex unknown,50.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Sex unknown,45.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,16 and 17 years,Sex unknown,99.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Total,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Total,33.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Total,64.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Hommes,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Hommes,43.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Hommes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Hommes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Hommes,64.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Femmes,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Femmes,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Femmes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Femmes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Femmes,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Sex unknown,22.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Total,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Total,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Total,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total offences,Age not applicable,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Total,50.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Total,64.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Total,76.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Total,50.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Total,66.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Hommes,57.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Hommes,62.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Hommes,76.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Hommes,50.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Hommes,64.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Femmes,15.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Femmes,85.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Femmes,99.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Femmes,38.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Femmes,42.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Sex unknown,64.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Sex unknown,50.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Sex unknown,71.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Total,Sex unknown,81.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Total,32.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Total,84.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Total,97.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Total,92.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Total,84.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Hommes,36.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Hommes,71.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Hommes,64.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Hommes,120.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Hommes,172.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Femmes,15.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Femmes,67.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Femmes,106.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Femmes,124.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Femmes,92.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Sex unknown,71.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Sex unknown,130.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Sex unknown,103.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,12 to 15 years,Sex unknown,78.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Total,68.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Total,59.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Total,68.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Total,39.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Total,48.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Hommes,89.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Hommes,59.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Hommes,77.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Hommes,34.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Hommes,29.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Femmes,8.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Femmes,85.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Femmes,22.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Femmes,38.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Femmes,36.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Sex unknown,57.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Sex unknown,47.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Sex unknown,62.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,16 and 17 years,Sex unknown,99.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Total,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Total,33.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Total,64.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Hommes,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Hommes,43.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Hommes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Hommes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Hommes,64.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Femmes,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Femmes,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Femmes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Femmes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Femmes,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Sex unknown,22.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Total,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Total,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Total,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Total Criminal Code,Age not applicable,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Total,51.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Total,71.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Total,85.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Total,50.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Total,71.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Hommes,83.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Hommes,58.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Hommes,85.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Hommes,42.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Hommes,89.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Femmes,12.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Femmes,85.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Femmes,70.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Femmes,38.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Femmes,29.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Sex unknown,54.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Sex unknown,155.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Sex unknown,81.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Total,Sex unknown,80.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Total,36.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Total,68.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Total,95.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Total,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Total,79.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Hommes,36.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Hommes,57.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Hommes,95.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Hommes,92.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Hommes,168.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Femmes,64.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Femmes,54.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Femmes,41.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Femmes,22.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Femmes,75.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Sex unknown,51.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Sex unknown,155.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Sex unknown,99.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,12 to 15 years,Sex unknown,78.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Total,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Total,71.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Total,62.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Total,40.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Total,48.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Hommes,141.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Hommes,59.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Hommes,22.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Hommes,34.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Hommes,66.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Femmes,1.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Femmes,85.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Femmes,155.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Femmes,79.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Femmes,29.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Sex unknown,57.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Sex unknown,215.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Sex unknown,62.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Sex unknown,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,16 and 17 years,Sex unknown,133.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Total,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Total,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Total,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Hommes,92.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Hommes,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Hommes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Hommes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Hommes,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Femmes,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Femmes,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Femmes,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Femmes,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Femmes,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Sex unknown,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Total,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Total,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Total,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Total,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Total,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against the person,Age not applicable,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Total,46.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Total,70.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Total,92.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Total,78.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Total,96.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Hommes,57.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Hommes,71.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Hommes,82.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Hommes,92.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Hommes,85.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Femmes,15.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Femmes,117.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Femmes,113.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Femmes,54.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Femmes,92.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Company,0.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Company,0.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Company,0.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Company,0.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Company,0.0
2014/2015,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Sex unknown,71.0
2015/2016,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Sex unknown,47.0
2016/2017,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Sex unknown,113.0
2017/2018,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Sex unknown,129.0
2018/2019,Youth courts,Île-du-Prince-Édouard,Crimes against property,Total,Sex unknown,120.0
